RICname,COW_code,iso3n
Penang,8272,NA
Perak,8201,NA
Perim I.,6802,NA
Perlis,8224,NA
Peru,135,604
Philippines,840,608
Poland,290,616
Porto Novo,4348,NA
Portugal,235,620
Portuguese India (incl. Goa Diu Daman),752,NA
Portuguese Timor,860,626
Prince Edward Is.,1024,NA
Prussia,255P,NA
Puerto Rico,6,NA
Quebec (Lower Canada),1025,NA
Queensland,905,NA
Republic of China (Taiwan) (Formosa),713,158
Republic of St. Mark,3261,NA
Reunion,585,NA
Rhineland,2556,NA
Riau,8544,NA
Romania,360,642
Rotterdam,360,642
Rupert's Land,1019,NA
Russia/USSR,365,643
Saar,256,NA
Sabah (North Borneo),823,NA
Sambas,8525,NA
Samoa,9900,NA
Samos,3504,NA
Sao Tome-Principe,403,678
Sarawak,824,NA
Saxe Altenburg,262,NA
Saxe Coburg,264,NA
Saxe Meiningen,266,NA
Saxe Weimar,261,NA
Saxony,269,NA
Schleswig,2247,NA
Selangor,8202,NA
Senegal,433,686
Seychelles,591,690
Sicily,3291,NA
Sierra Leone,451,694
Sind,7693,NA
Singapore,830,702
Sint Eustatius,1068,NA
Slovenia,349,705
Society Is.,9601,NA
Socotra I.,6800,NA
Solomon Islands,940,90
Somalia,520,706
South Africa,560,710
South Africa (domestic produce),560,710
South Africa (foreign produce),560,710
South Australia,903,NA
South West Africa (German West Africa) (Namibia),565,516
Southern Nigeria,4783,NA
Southern Sakhalin I.,7351,NA
Spain,230,724
Spain (foreign flag),231,NA
Spain (Spanish flag),230,724
Spanish West Africa,610,NA
Sri Lanka (Ceylon),780,144
St. Barthelemy,1064,NA
St. Helena,4050,NA
St. Kitts,1075,NA
St. Kitts-Nevis,60,659
St. Lucia,56,662
St. Marie de Madagascar,5803,NA
St. Pierre and Miquelon,1029,NA
St. Vincent and the Grenadines,57,670
Straits Settlements,827,NA
Sudan (Anglo-Egyptian),625,736
Suez Canal Zone,6514,NA
Sulu Sultanate,8401,NA
Surinam,115,740
Svalbard Is.,3386,NA
Swaziland,572,748
Sweden,380,752
Switzerland,225,756
Syria,652,760
Tadjoura,5221,NA
Tahiti,9606,NA
Tanzania (Tanganyika) (German East Africa),510,834
Tasmania,906,NA
Tetuan,6030,NA
Texas,7,NA
Thailand (Siam),800,764
Tobago,1049,NA
Togo (French Togoland),461,768
Tonga,955,776
Tonkin,8153,NA
Transvaal,563,NA
Trengganu,8225,NA
Trieste,326,NA
Trinidad and Tobago,52,780
Tripolitania,6203,NA
Tunisia,616,788
Turkey,640,792
